pdf,global_id,dataset,well_name,locid,parlabel,parvq,risunits,logdate,lat,long,ns
null,11120145,FRACK,Seneca Resources Corporation,67-32,!HANSEN! 67-32 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4686252,-118.88783,1
Y,03048281,FRACK,Aera Energy LLC,733CU-29,WELL # 733CU-29,=,null,BELRIDGE SOUTH OILFIELD,35.465949,-119.73777,1
Y,03048932,FRACK,Aera Energy LLC,927HR-18 ,WELL # 927HR-18 ,=,null,BELRIDGE SOUTH OILFIELD,35.488115,-119.75698,1
Y,03047477,FRACK,Aera Energy LLC,557N5-36,!RESULT! 557N5-36 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE NORTH OILFIELD,35.528946,-119.77769,1
Y,11122094,FRACK,Seneca Resources Corporation,48-33,!WHITE STAR! 48-33 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.46926,-118.87846,1
Y,03047716,FRACK,Occidental of Elk Hills Inc.,11SE-19R,WELL # 11SE-19R,=,null,ELK HILLS OILFIELD,35.309109,-119.55181,1
Y,03047333,FRACK,Aera Energy LLC,7480A-2,!BELRIDGE V! 7480A-2 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.429801,-119.68168,1
Y,03049312,FRACK,Aera Energy LLC,968A-34 ,WELL # 968A-34 ,=,null,BELRIDGE SOUTH OILFIELD,35.442858,-119.6954,1
null,11120404,FRACK,Vintage Production California LLC,40,!HAMP! 40 - DIRECTIONALLY DRILLED,=,null,OJAI OILFIELD,34.4349739,-119.09590,1
Y,03050132,FRACK,Aera Energy LLC,576A1-29 ,WELL # 576A1-29 ,=,null,BELRIDGE SOUTH OILFIELD,35.459167,-119.72849,1
Y,03050010,FRACK,Aera Energy LLC,955LR-29 ,WELL # 955LR-29 ,=,null,BELRIDGE SOUTH OILFIELD,35.461411,-119.73391,1
null,11102639,FRACK,Seneca Resources Corporation,2,!FRANKEL! 2 - NOT DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4804401,-118.87785,1
Y,03047773,FRACK,Occidental of Elk Hills Inc.,81-24Z,WELL # 81-24Z - DIRECTIONALLY DRILLED,=,null,ELK HILLS OILFIELD,35.309543,-119.55551,1
Y,03044982,FRACK,Aera Energy LLC,928NR-18 ,WELL # 928NR-18 ,=,null,BELRIDGE SOUTH OILFIELD,35.485048,-119.75768,1
null,11120657,FRACK,Williams Oil Co.,2,!COLONIA! 2 - NOT DIRECTIONALLY DRILLED,=,null,PIRU (ABD) OILFIELD,34.4251200,-118.79627,1
null,11121006,FRACK,Seneca Resources Corporation,34-6,!BONEBRAKE A! 34-6 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4638895,-118.91729,1
Y,03048835,FRACK,Aera Energy LLC,550J3-35,WELL # 550J3-35,=,null,BELRIDGE NORTH OILFIELD,35.530634,-119.78302,1
null,02986149,FRACK,Chevron U.S.A. Inc.,8-4W,WELL # 8-4W - NOT DIRECTIONALLY DRILLED,=,null,CYMRIC OILFIELD,35.365101,-119.68304,1
Y,03038283,FRACK,Occidental of Elk Hills Inc.,2-84-19B,WELL # 2-84-19B - NOT DIRECTIONALLY DRILLED,=,null,BUENA VISTA OILFIELD,35.515505,-119.53651,1
Y,11122156,FRACK,Seneca Resources Corporation,502,!FRANKEL A! 502 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.480721,-118.88019,1
Y,03050138,FRACK,Aera Energy LLC,542N1-29 ,WELL # 542N1-29 ,=,null,BELRIDGE SOUTH OILFIELD,35.467113,-119.73486,1
null,11121221,FRACK,Vaquero Energy Inc.,3-31,!HUNTER REHART! 3-31 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4636280,-118.85929,1
null,11120557,FRACK,Seneca Resources Corporation,58-21,!TAR CREEK! 58-21 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4951570,-118.87558,1
Y,03044694,FRACK,Chevron U.S.A. Inc.,1-10C,WELL # 1-10C,=,null,LOST HILLS OILFIELD,35.6335957,-119.74180,1
Y,03047642,FRACK,Vintage Production California LLC,3-14H,!SILL! 3-14H - HORIZONTALLY DRILLED,=,null,ANY FIELD OILFIELD,35.4971127,-119.25125,1
Y,03048674,FRACK,Occidental of Elk Hills Inc.,27N-35R,WELL # 27N-35R,=,null,ELK HILLS OILFIELD,35.2715525,-119.48054,1
Y,03042961,FRACK,Vintage Production California LLC,14-8H,!SUPREME! 14-8H - HORIZONTALLY DRILLED,=,null,SEMITROPIC OILFIELD,35.5824199,-119.47334,1
Y,03045540,FRACK,Aera Energy LLC,581G1-32,WELL # 581G1-32 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.45542,-119.72583,1
Y,03048208,FRACK,Aera Energy LLC,943PR-33,WELL # 943PR-33,=,null,BELRIDGE SOUTH OILFIELD,35.450411,-119.71666,1
Y,03041633,FRACK,Exxon Mobil Corporation,641,!HILL! 641 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.483483,-119.75343,1
null,03716455,FRACK,Linn Operating Inc.,A-8,!PUENTE! A-8 - DIRECTIONALLY DRILLED,=,null,BREA-OLINDA OILFIELD,33.9536962,-117.91213,1
null,11102832,FRACK,Seneca Resources Corporation,52,!TAR CREEK! 52 - NOT DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4882135,-118.87272,1
Y,02989128,FRACK,Occidental of Elk Hills Inc.,2-521A-7D,WELL # 2-521A-7D - DIRECTIONALLY DRILLED,=,null,BUENA VISTA OILFIELD,35.151797,-119.43933,1
Y,03023384,FRACK,Seneca Resources Corporation,1,!CITRUS! 1 - DIRECTIONALLY DRILLED,=,null,LOST HILLS OILFIELD,35.542064,-119.67102,1
Y,03047570,FRACK,Chevron U.S.A. Inc.,5-7F,!CAHN! 5-7F - DIRECTIONALLY DRILLED,=,null,LOST HILLS OILFIELD,35.6071929,-119.71787,1
Y,03041627,FRACK,Exxon Mobil Corporation,631,!HILL! 631 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.483161,-119.75625,1
Y,11122141,FRACK,The Termo Company,43,!SENCE! 43,=,null,SOUTH MOUNTAIN OILFIELD,34.317292,-119.02018,1
null,11120113,FRACK,Seneca Resources Corporation,85-28,!TAR CREEK! 85-28 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4882876,-118.87069,1
Y,03050140,FRACK,Aera Energy LLC,953FR3-29 ,WELL # 953FR3-29 ,=,null,BELRIDGE SOUTH OILFIELD,35.466197,-119.73294,1
Y,03047336,FRACK,Aera Energy LLC,7510B-2,!BELRIDGE V! 7510B-2 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.429288,-119.68509,1
Y,03049669,FRACK,Aera Energy LLC,578F1-12 ,WELL # 578F1-12 ,=,null,BELRIDGE SOUTH OILFIELD,35.500848,-119.76451,1
Y,03046180,FRACK,Aera Energy LLC,7216,!LOST HILLS TWO! 7216 - DIRECTIONALLY DRILLED,=,null,LOST HILLS OILFIELD,35.654129,-119.75433,1
Y,03046982,FRACK,Aera Energy LLC,731GU-29,WELL # 731GU-29,=,null,BELRIDGE SOUTH OILFIELD,35.469968,-119.73739,1
